frb_name,b_kpc,z_gal,logmass,dm_cos_delta
FRB20190523A,972.009077643242,0.121173,10.303936541559592,0.2111758394318599
FRB20190523A,939.1277613253242,0.114697,10.60621624999085,0.2111758394318599
FRB20190523A,837.6286661074935,0.105496,10.228991373154475,0.2111758394318599
FRB20190523A,892.648598663066,0.110846,10.63757568105211,0.2111758394318599
FRB20190523A,1237.1559070512658,0.117388,10.059293907174775,0.2111758394318599
FRB20190523A,1015.4701352661382,0.116288,10.445851021977939,0.2111758394318599
FRB20190523A,1209.0080637105489,0.123178,11.271469213142726,0.2111758394318599
FRB20190523A,1207.830957048456,0.119262,10.475358458844102,0.2111758394318599
FRB20190523A,1205.0152328482027,0.108212,10.616658231226332,0.2111758394318599
FRB20220105A,1847.841801301814,0.110989,10.131605798571513,171.3993079197492
FRB20220105A,798.7597387057651,0.058485,10.536600169981341,171.3993079197492
FRB20220105A,1315.4539011278207,0.09922,10.211034827511146,171.3993079197492
FRB20220105A,877.8679696651498,0.087794,11.06313498253104,171.3993079197492
FRB20220105A,1653.406350355513,0.127669,10.607312347772192,171.3993079197492
FRB20220105A,631.2831631024509,0.050509,10.070550801296797,171.3993079197492
FRB20220105A,1630.4047030190322,0.156815,11.215118206136877,171.3993079197492
FRB20220105A,1886.7432725827873,0.159785,10.130361214671346,171.3993079197492
FRB20220105A,1820.9344062284122,0.159701,10.338425506150083,171.3993079197492
FRB20220105A,1475.644523047728,0.166415,11.173041562177879,171.3993079197492
FRB20220105A,1320.2973669752942,0.156565,10.881341862086735,171.3993079197492
FRB20220105A,1424.1938609951426,0.18662,11.009503251005937,171.3993079197492
FRB20220105A,1100.66001149101,0.107372,10.69271128135115,171.3993079197492
FRB20220105A,1453.2836529908282,0.154113,10.342245700428046,171.3993079197492
FRB20220105A,1047.3012402151744,0.039528,10.645689758768777,171.3993079197492
FRB20220105A,1400.7929756499648,0.141348,10.790618127532207,171.3993079197492
FRB20220105A,1141.257294131468,0.103948,10.873950462872044,171.3993079197492
FRB20220105A,1124.140663197815,0.110329,11.199868198399741,171.3993079197492
FRB20220105A,1376.9481979192242,0.11224,10.738410354576004,171.3993079197492
FRB20220105A,1393.4378017788586,0.060374,10.338665705691216,171.3993079197492
FRB20220105A,1767.4011159244344,0.098059,10.066499043969415,171.3993079197492
FRB20220105A,1632.7824243451844,0.158157,10.050275031965242,171.3993079197492
FRB20220105A,1654.391470947838,0.191626,10.013491490355888,171.3993079197492
FRB20220105A,1169.5721112005585,0.190548,10.920356137264774,171.3993079197492
FRB20220105A,426.5691640467964,0.07509,10.778920809283154,171.3993079197492
FRB20220105A,963.1595828330657,0.118972,10.666509190736669,171.3993079197492
FRB20220105A,1402.537853260725,0.220637,10.602907248890052,171.3993079197492
FRB20220105A,733.8046999482322,0.155605,11.278197561025301,171.3993079197492
FRB20220105A,386.14269716343625,0.148658,11.82531316862737,171.3993079197492
FRB20220105A,497.0453037780073,0.13953,10.502568620933506,171.3993079197492
FRB20220105A,284.3795507100436,0.16404,10.289371298417809,171.3993079197492
FRB20220105A,242.96085390049808,0.0848,10.810213837004236,171.3993079197492
FRB20220105A,333.2537261344753,0.164968,10.054367421887783,171.3993079197492
FRB20220105A,330.64469145301916,0.122294,10.27388838376271,171.3993079197492
FRB20220105A,1050.0200476111543,0.110954,10.760277308268128,171.3993079197492
FRB20220105A,662.5120206641351,0.214911,10.457581620529545,171.3993079197492
FRB20220105A,1089.4629262426968,0.214919,10.175685015108673,171.3993079197492
FRB20220105A,1470.3278324394873,0.137337,10.14246117550067,171.3993079197492
FRB20220105A,1612.5563957323361,0.180523,10.239737813665304,171.3993079197492
FRB20220105A,893.3086410826941,0.095438,10.02289461234271,171.3993079197492
FRB20220105A,1863.2722901184072,0.219402,10.613844471901093,171.3993079197492
FRB20220105A,1148.543530150757,0.13011,10.029093566748589,171.3993079197492
FRB20220105A,1510.5442796127988,0.114623,10.437442014865898,171.3993079197492
FRB20220105A,1125.0356464051497,0.100799,11.545135784988702,171.3993079197492
FRB20220105A,668.6883247092504,0.126594,10.855727227621992,171.3993079197492
FRB20220105A,816.6194725043158,0.147998,10.560892876098297,171.3993079197492
FRB20220105A,1572.1214090193523,0.139448,10.80888825682435,171.3993079197492
FRB20220105A,1226.3680846961108,0.138078,10.128623092794028,171.3993079197492
FRB20220105A,584.1824547511102,0.055306,10.226534594683521,171.3993079197492
FRB20220105A,1158.112554440311,0.14129,10.677177841058512,171.3993079197492
FRB20220105A,444.72736377541816,0.122271,10.223873893079352,171.3993079197492
FRB20220105A,710.1819224922341,0.10292,10.38068664790012,171.3993079197492
FRB20220105A,522.0535261201281,0.063067,10.240069700412832,171.3993079197492
FRB20220105A,1536.1586680013318,0.158251,10.946826890032035,171.3993079197492
FRB20220105A,985.679333541314,0.094975,10.822933967465495,171.3993079197492
FRB20220105A,1283.2779294910524,0.118188,10.055959967890008,171.3993079197492
FRB20220105A,1616.8793871815672,0.130546,10.108440491568803,171.3993079197492
FRB20220105A,1683.4855830735864,0.138099,10.076511017581803,171.3993079197492
FRB20220105A,1633.4024377948792,0.164117,10.567442664535292,171.3993079197492
FRB20220105A,1426.6324755227633,0.115832,10.937554573314173,171.3993079197492
FRB20220105A,1463.690875416974,0.105721,10.926571936367715,171.3993079197492
FRB20220105A,1373.6066350061747,0.084428,10.640688110795177,171.3993079197492
FRB20220105A,1848.4876830815408,0.114334,10.42541222254637,171.3993079197492
FRB20220105A,1507.4147857044345,0.072856,10.09467366713611,171.3993079197492
FRB20220105A,1485.1454513993403,0.059442,11.293686043476743,171.3993079197492
FRB20220105A,1728.7871057127452,0.116817,10.501451196448327,171.3993079197492
FRB20220105A,895.8259831788166,0.059092,10.387221762259365,171.3993079197492
FRB20220105A,845.7555602464264,0.041352,10.253998013556325,171.3993079197492
FRB20220105A,1267.2894053949651,0.077679,10.88244205480198,171.3993079197492
FRB20220105A,1451.9869169102162,0.078677,10.829984794278985,171.3993079197492
FRB20220105A,1391.6104156891631,0.071947,10.454437221087128,171.3993079197492
FRB20220105A,1846.7950987723123,0.101478,10.967017718063111,171.3993079197492
FRB20220105A,1536.4856446026656,0.078603,10.568802952714751,171.3993079197492
FRB20220105A,1700.5250370354308,0.079796,10.766909576614683,171.3993079197492
FRB20220105A,1185.0977877412652,0.053526,10.428654761378864,171.3993079197492
FRB20220105A,1581.6281339849804,0.05894,10.860593013622173,171.3993079197492
FRB20220105A,1630.7115125966825,0.060685,11.272909750029394,171.3993079197492
FRB20220418A,1953.404393009506,0.179043,10.28375177476618,-101.13700145683444
FRB20220418A,1947.5424463613926,0.236103,10.66278347599504,-101.13700145683444
FRB20220418A,1544.0481338493678,0.242328,10.666417842004282,-101.13700145683444
FRB20220418A,1969.210349224591,0.363526,10.244356348528946,-101.13700145683444
FRB20220418A,1976.427846200655,0.40121,11.411103025079482,-101.13700145683444
FRB20220418A,1968.2976184056656,0.400578,10.933181154247713,-101.13700145683444
FRB20220418A,1567.782432218682,0.217813,11.062163686511472,-101.13700145683444
FRB20220418A,1657.8256345324053,0.34628,10.990412396771342,-101.13700145683444
FRB20220418A,1752.8628320380553,0.398428,11.191374781128225,-101.13700145683444
FRB20220418A,1473.6637198849396,0.268806,10.71743835935574,-101.13700145683444
FRB20220418A,1585.2578890931386,0.326091,10.292461991437646,-101.13700145683444
FRB20220418A,697.3693134298272,0.084746,10.212990818185208,-101.13700145683444
FRB20220418A,1915.185059859278,0.319368,10.219728065981545,-101.13700145683444
FRB20220418A,1629.0205927221257,0.217353,10.148261947539442,-101.13700145683444
FRB20220418A,1847.5975376195786,0.417502,10.43235553878307,-101.13700145683444
FRB20220418A,1397.1881709345416,0.244856,10.146510073736028,-101.13700145683444
FRB20220418A,1817.1305782505758,0.461552,10.493873876390737,-101.13700145683444
FRB20220418A,1693.1567634241017,0.385681,10.726181372327089,-101.13700145683444
FRB20220418A,1084.2249927654634,0.241478,10.077231209163585,-101.13700145683444
FRB20220418A,1544.1432619875823,0.486133,10.507578015921212,-101.13700145683444
FRB20220418A,1735.6686233262978,0.49471,10.6081582291926,-101.13700145683444
FRB20220418A,1210.3186699058192,0.3069,10.494506320651096,-101.13700145683444
FRB20220418A,1104.9566710605588,0.273344,10.84151699342097,-101.13700145683444
FRB20220418A,1353.7483566731305,0.351744,11.652786216161306,-101.13700145683444
FRB20220418A,1495.6312348971046,0.443951,10.421589932847693,-101.13700145683444
FRB20220418A,1091.7157787382332,0.340723,10.637972569442992,-101.13700145683444
FRB20220418A,936.0515265461439,0.356865,10.295294137508066,-101.13700145683444
